,datatypeid,instrumentid,partyid,productid,rank,shortname,tradingday,varvolume,volume,shortname_1,volume_1,varvolume_1,partyid_1,shortname_2,volume_2,varvolume_2,partyid_2
0,0,T1809,0133,T,1,海通期货,20180601,-2119,8865,中信期货,4695,-74,0018,永安期货,5112,-25,0003
1,0,T1809,0001,T,2,国泰君安,20180601,-1647,4191,国泰君安,4595,94,0001,国泰君安,4964,41,0001
2,0,T1809,0018,T,3,中信期货,20180601,-909,3560,永安期货,3812,5,0003,中信期货,4592,-172,0018
3,0,T1809,0016,T,4,广发期货,20180601,254,2350,华泰期货,3046,99,0011,国海良时,3378,37,0178
4,0,T1809,0102,T,5,兴证期货,20180601,-506,2200,海通期货,2653,7,0133,海通期货,3158,-36,0133
5,0,T1809,0136,T,6,招商期货,20180601,402,2176,中金期货,1856,40,0172,广发期货,3065,6,0016
6,0,T1809,0009,T,7,浙商期货,20180601,189,1937,广发期货,1786,180,0016,国金期货,2902,-42,0129
7,0,T1809,0007,T,8,光大期货,20180601,-6,1710,新湖期货,1775,-6,0152,宝城期货,2893,351,0110
8,0,T1809,0129,T,9,国金期货,20180601,-550,1656,银河期货,1751,-434,0109,和融期货,1857,0,0120
9,0,T1809,0109,T,10,银河期货,20180601,489,1652,浙商期货,1630,182,0009,格林大华,1661,71,0106
10,0,T1809,0147,T,11,华安期货,20180601,636,1568,中粮期货,1438,-15,0010,华安期货,1510,67,0147
11,0,T1809,0122,T,12,国投安信,20180601,-412,1428,上海东证,1264,105,0156,银河期货,1107,56,0109
12,0,T1809,0011,T,13,华泰期货,20180601,-582,1408,招商期货,1191,-70,0136,上海东证,1072,-35,0156
13,0,T1809,0160,T,14,西部期货,20180601,-737,1408,天风期货,1124,27,0309,平安期货,1061,172,0105
14,0,T1809,0131,T,15,申银万国,20180601,-172,1332,华安期货,1104,-37,0147,天风期货,934,95,0309
15,0,T1809,0105,T,16,平安期货,20180601,-435,1306,华信期货,1061,-8,0119,浙商期货,848,1,0009
16,0,T1809,0006,T,17,鲁证期货,20180601,-784,1271,国投安信,927,-6,0122,东海期货,792,19,0008
17,0,T1809,0187,T,18,徽商期货,20180601,-1258,1261,鲁证期货,908,30,0006,中信建投,777,86,0115
18,0,T1809,0156,T,19,上海东证,20180601,-671,1200,东航期货,893,-11,0153,国投安信,773,88,0122
19,0,T1809,0179,T,20,中融汇信,20180601,788,891,中国国际,846,249,0159,光大期货,772,3,0007
0,0,T1806,0001,T,1,国泰君安,20180601,20,20,平安期货,89,-41,0105,永安期货,31,0,0003
1,0,T1806,0018,T,2,中信期货,20180601,20,20,国泰君安,0,-60,0001,天风期货,20,0,0309
2,0,T1806,0002,T,3,南华期货,20180601,0,0,南华期货,0,-30,0002,国泰君安,12,0,0001
3,0,T1806,0003,T,4,永安期货,20180601,-3,0,永安期货,0,0,0003,宏源期货,12,0,0137
4,0,T1806,0105,T,5,平安期货,20180601,0,0,中信期货,0,0,0018,国金期货,11,-111,0129
5,0,T1806,0129,T,6,国金期货,20180601,-4,0,国金期货,0,0,0129,国海良时,3,0,0178
6,0,T1806,0137,T,7,宏源期货,20180601,0,0,宏源期货,0,0,0137,南华期货,0,0,0002
7,0,T1806,0178,T,8,国海良时,20180601,0,0,国海良时,0,0,0178,中信期货,0,-20,0018
8,0,T1806,0309,T,9,天风期货,20180601,0,0,天风期货,0,0,0309,平安期货,0,0,0105
