,datatypeid,instrumentid,partyid,productid,rank,shortname,tradingday,varvolume,volume
0,2,T1809,0110,T,8,宝城期货,20180601,351,2893
1,2,T1809,0008,T,17,东海期货,20180601,19,792
2,1,T1809,0153,T,19,东航期货,20180601,-11,893
3,2,T1809,0106,T,10,格林大华,20180601,71,1661
4,0,T1809,0007,T,8,光大期货,20180601,-6,1710
5,2,T1809,0007,T,20,光大期货,20180601,3,772
6,0,T1809,0016,T,4,广发期货,20180601,254,2350
7,1,T1809,0016,T,7,广发期货,20180601,180,1786
8,2,T1809,0016,T,6,广发期货,20180601,6,3065
9,0,T1806,0178,T,8,国海良时,20180601,0,0
10,1,T1806,0178,T,8,国海良时,20180601,0,0
11,2,T1806,0178,T,6,国海良时,20180601,0,3
12,2,T1809,0178,T,4,国海良时,20180601,37,3378
13,0,T1809,0129,T,9,国金期货,20180601,-550,1656
14,0,T1806,0129,T,6,国金期货,20180601,-4,0
15,1,T1806,0129,T,6,国金期货,20180601,0,0
16,2,T1806,0129,T,5,国金期货,20180601,-111,11
17,2,T1809,0129,T,7,国金期货,20180601,-42,2902
18,0,T1809,0001,T,2,国泰君安,20180601,-1647,4191
19,0,T1806,0001,T,1,国泰君安,20180601,20,20
20,1,T1806,0001,T,2,国泰君安,20180601,-60,0
21,1,T1809,0001,T,2,国泰君安,20180601,94,4595
22,2,T1809,0001,T,2,国泰君安,20180601,41,4964
23,2,T1806,0001,T,3,国泰君安,20180601,0,12
24,0,T1809,0122,T,12,国投安信,20180601,-412,1428
25,1,T1809,0122,T,17,国投安信,20180601,-6,927
26,2,T1809,0122,T,19,国投安信,20180601,88,773
27,0,T1809,0133,T,1,海通期货,20180601,-2119,8865
28,1,T1809,0133,T,5,海通期货,20180601,7,2653
29,2,T1809,0133,T,5,海通期货,20180601,-36,3158
30,2,T1809,0120,T,9,和融期货,20180601,0,1857
31,0,T1806,0137,T,7,宏源期货,20180601,0,0
32,1,T1806,0137,T,7,宏源期货,20180601,0,0
33,2,T1806,0137,T,4,宏源期货,20180601,0,12
34,0,T1809,0147,T,11,华安期货,20180601,636,1568
35,1,T1809,0147,T,15,华安期货,20180601,-37,1104
36,2,T1809,0147,T,11,华安期货,20180601,67,1510
37,0,T1809,0011,T,13,华泰期货,20180601,-582,1408
38,1,T1809,0011,T,4,华泰期货,20180601,99,3046
39,1,T1809,0119,T,16,华信期货,20180601,-8,1061
40,0,T1809,0187,T,18,徽商期货,20180601,-1258,1261
41,0,T1809,0006,T,17,鲁证期货,20180601,-784,1271
42,1,T1809,0006,T,18,鲁证期货,20180601,30,908
43,0,T1806,0002,T,3,南华期货,20180601,0,0
44,1,T1806,0002,T,3,南华期货,20180601,-30,0
45,2,T1806,0002,T,7,南华期货,20180601,0,0
46,0,T1806,0105,T,5,平安期货,20180601,0,0
47,0,T1809,0105,T,16,平安期货,20180601,-435,1306
48,1,T1806,0105,T,1,平安期货,20180601,-41,89
49,2,T1806,0105,T,9,平安期货,20180601,0,0
50,2,T1809,0105,T,14,平安期货,20180601,172,1061
51,0,T1809,0156,T,19,上海东证,20180601,-671,1200
52,1,T1809,0156,T,12,上海东证,20180601,105,1264
53,2,T1809,0156,T,13,上海东证,20180601,-35,1072
54,0,T1809,0131,T,15,申银万国,20180601,-172,1332
55,0,T1806,0309,T,9,天风期货,20180601,0,0
56,1,T1809,0309,T,14,天风期货,20180601,27,1124
57,1,T1806,0309,T,9,天风期货,20180601,0,0
58,2,T1809,0309,T,15,天风期货,20180601,95,934
59,2,T1806,0309,T,2,天风期货,20180601,0,20
60,0,T1809,0160,T,14,西部期货,20180601,-737,1408
61,1,T1809,0152,T,8,新湖期货,20180601,-6,1775
62,0,T1809,0102,T,5,兴证期货,20180601,-506,2200
63,0,T1809,0109,T,10,银河期货,20180601,489,1652
64,1,T1809,0109,T,9,银河期货,20180601,-434,1751
65,2,T1809,0109,T,12,银河期货,20180601,56,1107
66,0,T1806,0003,T,4,永安期货,20180601,-3,0
67,1,T1809,0003,T,3,永安期货,20180601,5,3812
68,1,T1806,0003,T,4,永安期货,20180601,0,0
69,2,T1809,0003,T,1,永安期货,20180601,-25,5112
70,2,T1806,0003,T,1,永安期货,20180601,0,31
71,0,T1809,0136,T,6,招商期货,20180601,402,2176
72,1,T1809,0136,T,13,招商期货,20180601,-70,1191
73,0,T1809,0009,T,7,浙商期货,20180601,189,1937
74,1,T1809,0009,T,10,浙商期货,20180601,182,1630
75,2,T1809,0009,T,16,浙商期货,20180601,1,848
76,1,T1809,0159,T,20,中国国际,20180601,249,846
77,1,T1809,0172,T,6,中金期货,20180601,40,1856
78,1,T1809,0010,T,11,中粮期货,20180601,-15,1438
79,0,T1809,0179,T,20,中融汇信,20180601,788,891
80,2,T1809,0115,T,18,中信建投,20180601,86,777
81,0,T1809,0018,T,3,中信期货,20180601,-909,3560
82,0,T1806,0018,T,2,中信期货,20180601,20,20
83,1,T1806,0018,T,5,中信期货,20180601,0,0
84,1,T1809,0018,T,1,中信期货,20180601,-74,4695
85,2,T1809,0018,T,3,中信期货,20180601,-172,4592
86,2,T1806,0018,T,8,中信期货,20180601,-20,0
